@relation ENS_AGEBS_20

@attribute index numeric
@attribute NOM_LOC {Ensenada}
@attribute AGEB numeric
@attribute MZA numeric
@attribute P_TOTAL numeric
@attribute POB65_MAS numeric
@attribute GRAPROES numeric
@attribute PROM_HNV numeric
@attribute VIVTOT numeric
@attribute PRO_OCUP_C numeric
@attribute PROM_OCUP numeric
@attribute VPH_PC numeric
@attribute OTRAENT numeric
@attribute P_0A5 numeric

@data
2529,Ensenada,2107,1,25,0,9.47,2.4,8,1.19,4.17,0,11,3
2531,Ensenada,2111,1,5,0,9.47,2.4,4,1.19,4.17,0,11,3
2533,Ensenada,2126,1,262,14,8.033333,2.523333,80,1.336667,3.8,28,125,31
2537,Ensenada,2145,1,886,32,7.497619,1.323333,422,0.864286,2.251429,140,425,149
2573,Ensenada,2164,1,163,12,4.474483,1.028276,91,0.445172,1.49931,3,120,0
2604,Ensenada,2179,1,1072,9,7.820625,1.4275,324,0.934375,2.984375,119,419,148
2621,Ensenada,2183,5,8,0,8.085,1.75,4,0.265,1,3,0,0
2624,Ensenada,2198,1,0,0,0,0,0,0,0,0,0,0
2626,Ensenada,2234,1,146,6,11.1175,1.1575,58,0.48,2.2575,37,40,28
2631,Ensenada,2431,1,142,0,8.771111,2.182222,45,1.328889,3.151111,128,68,15
2641,Ensenada,2446,1,4,0,6.75,1.5,9,0.8,1.33,0,3,0
2643,Ensenada,5968,1,3981,496,13.353061,1.48551,1566,0.552653,2.832245,1122,1354,258
2693,Ensenada,5987,3,4071,366,9.8228,1.4958,1370,0.7116,2.6874,902,1283,369
2744,Ensenada,5991,1,206,27,6.302308,0.783077,110,0.234615,1.245385,63,69,8
2758,Ensenada,6006,1,4685,397,9.555526,2.025,1719,0.81,3.088684,685,1327,435
2797,Ensenada,6010,1,3494,430,9.436512,2.106512,1291,0.791628,2.999767,472,1111,291
2841,Ensenada,6025,1,1559,218,14.349091,1.382273,665,0.527273,2.571364,529,637,123
2864,Ensenada,6148,1,1368,34,6.786458,0.887083,452,0.461042,2.134792,287,934,190
2913,Ensenada,7377,1,3029,230,7.908269,2.098077,1054,1.020577,3.086923,328,1076,371
2966,Ensenada,7432,1,3635,161,9.114667,1.916,1108,0.959778,3.321111,470,1172,380
3012,Ensenada,7447,1,891,139,8.099677,1.697097,281,0.73,3.039355,153,334,66
3044,Ensenada,7451,1,1258,131,10.447778,1.841111,462,0.734444,2.992963,247,438,73
3096,Ensenada,7502,20,1109,80,10.894118,1.861765,370,0.761765,3.194706,241,300,100
3114,Ensenada,7625,1,216,47,7.735,0.76,175,0.288889,1.193333,112,132,0
3133,Ensenada,7644,1,1741,104,8.1344,2.1152,503,0.9588,3.4184,168,729,225
3159,Ensenada,7659,1,943,60,8.05625,2.014375,344,1.21625,3.26125,92,394,100
3176,Ensenada,7663,1,1329,120,9.982692,1.806923,433,0.81,3.014615,256,383,109
3203,Ensenada,7678,1,1840,116,9.3236,1.8756,635,0.8862,3.1246,227,641,180
3254,Ensenada,7682,1,1401,147,8.858095,2.019762,515,0.826905,2.958571,301,628,113
3297,Ensenada,7697,1,2057,224,8.196182,2.164727,682,0.832909,2.854364,271,928,210
3383,Ensenada,7714,1,2885,295,9.091176,1.963529,982,0.746765,2.886471,444,944,283
3418,Ensenada,7729,1,2311,359,12.346774,1.832258,806,0.667419,3.08129,523,719,169
3450,Ensenada,7733,1,1968,331,10.214118,1.792353,746,0.694118,2.702647,417,718,127
3485,Ensenada,7748,1,1723,256,11.761944,1.6475,648,0.658889,2.775,423,642,177
3522,Ensenada,7752,1,2940,326,10.683235,1.795882,1151,0.742941,2.949706,583,754,264
3557,Ensenada,7767,1,1217,238,11.450667,1.822667,445,0.684,2.950667,279,374,94
3573,Ensenada,7771,1,2107,388,12.001176,1.403235,888,0.557647,2.401176,584,754,116
3608,Ensenada,7786,1,2511,339,10.983929,1.97,919,0.693214,2.996429,525,730,196
3637,Ensenada,7790,1,2834,241,9.570204,1.617551,1009,0.767755,2.63102,459,1182,281
3687,Ensenada,7818,1,2506,226,8.8635,2.05125,772,0.963,3.324,345,944,298
3728,Ensenada,7822,1,2686,205,8.815686,1.894118,893,0.962745,3.230392,364,922,335
3780,Ensenada,7837,1,1780,270,11.460294,1.793235,788,0.725588,2.598529,387,488,126
3815,Ensenada,7841,1,1874,315,10.905,1.967,741,0.687333,2.686667,394,587,111
3846,Ensenada,7856,1,1553,379,12.25439,1.782195,650,0.518293,2.453902,469,474,28
3888,Ensenada,7860,1,1218,307,11.136176,1.675,480,0.498824,2.448529,330,418,47
3923,Ensenada,7875,1,2048,322,11.928571,1.879643,808,0.653929,2.835,481,589,164
3982,Ensenada,7894,1,1617,234,10.793056,2.09,598,0.782778,3.018889,308,486,102
4019,Ensenada,7907,1,1281,99,9.726774,1.792903,450,0.727742,3.088065,232,314,74
4051,Ensenada,7911,1,1979,347,10.853953,2.00186,731,0.758837,3.137907,438,527,96
4095,Ensenada,7926,1,3030,455,9.593333,1.9125,1039,0.6675,2.790556,563,763,245
4132,Ensenada,7930,1,4254,480,10.677727,2.080909,1486,0.795227,3.1375,752,1404,338
