ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_0A2,P_3A5,POB65_MAS,GRAPROES,PROM_HNV,PNACOE,VIVTOT,PROM_OCUP,PRO_OCUP_C,VPH_PC
02,Baja California,001,Ensenada,0001,Ensenada,0115,027,44,*,*,*,10.19,2.33,20,13,3.67,1.22,5
02,Baja California,001,Ensenada,0001,Ensenada,0115,028,73,5,*,3,9.24,1.93,35,29,3.32,1.12,7
02,Baja California,001,Ensenada,0001,Ensenada,0115,029,53,4,4,0,10.39,1.57,14,18,3.79,1.56,7
02,Baja California,001,Ensenada,0001,Ensenada,0115,030,8,*,*,*,*,*,*,2,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0115,031,2,*,*,*,*,*,*,1,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0115,033,6,0,0,3,5,4.67,5,3,2,1,0
02,Baja California,001,Ensenada,0001,Ensenada,0115,034,56,*,4,0,9.14,1.70,27,22,3.11,1.60,3
02,Baja California,001,Ensenada,0001,Ensenada,0115,035,53,6,*,0,8.52,1.89,17,17,3.79,1.83,*
02,Baja California,001,Ensenada,0001,Ensenada,0115,036,0,0,0,0,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,0001,Ensenada,0115,037,75,7,4,3,8.80,2.26,26,27,3.26,1.53,9
02,Baja California,001,Ensenada,0001,Ensenada,0115,038,55,*,6,*,8.59,2.25,16,18,3.67,1.77,*
02,Baja California,001,Ensenada,0001,Ensenada,0115,039,97,10,4,*,9.33,2.11,49,36,3.13,1.49,8
02,Baja California,001,Ensenada,0001,Ensenada,0115,040,75,5,7,*,8.82,2.27,36,59,3.13,1.53,*
02,Baja California,001,Ensenada,0001,Ensenada,0115,041,376,33,34,3,8.87,2.10,181,124,3.30,1.50,24
02,Baja California,001,Ensenada,0001,Ensenada,0115,042,74,8,3,*,8.49,2.13,28,22,3.36,1.54,6
02,Baja California,001,Ensenada,0001,Ensenada,0115,043,135,5,11,*,8.69,2,53,42,3.38,1.59,10
02,Baja California,001,Ensenada,0001,Ensenada,0115,044,26,*,5,0,9.27,2,11,10,2.89,1.08,*
02,Baja California,001,Ensenada,0001,Ensenada,0115,045,33,3,*,0,10.48,1.78,13,9,3.67,1.43,4
02,Baja California,001,Ensenada,0001,Ensenada,0115,046,0,0,0,0,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,0001,Ensenada,0115,047,1,*,*,*,*,*,*,1,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0115,048,4,*,*,*,*,*,*,2,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0115,049,4,*,*,*,*,*,*,2,*,*,*
02,Baja California,001,Ensenada,0001,Total AGEB urbana,012A,000,1222,82,84,28,9.07,2.07,497,401,3.39,1.41,80
02,Baja California,001,Ensenada,0001,Ensenada,012A,015,41,*,*,3,7.85,2.46,18,13,3.42,1.08,*
02,Baja California,001,Ensenada,0001,Ensenada,012A,016,9,0,0,*,5.67,5.33,6,8,1.80,0.56,0
02,Baja California,001,Ensenada,0001,Ensenada,012A,017,11,*,*,*,*,*,*,3,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,012A,018,8,*,*,*,*,*,*,2,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,012A,019,24,*,*,0,9.93,1.33,7,7,4.80,2,*
02,Baja California,001,Ensenada,0001,Ensenada,012A,020,0,0,0,0,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,0001,Ensenada,012A,021,410,25,32,7,8.97,2.05,150,132,3.42,1.56,23
02,Baja California,001,Ensenada,0001,Ensenada,012A,022,41,4,*,0,9.43,1.85,20,16,3.73,1.58,3
02,Baja California,001,Ensenada,0001,Ensenada,012A,023,77,4,3,*,9.79,1.55,25,30,2.66,1.28,7
02,Baja California,001,Ensenada,0001,Ensenada,012A,024,59,3,4,0,9.03,2.10,13,20,3.11,1.11,6
02,Baja California,001,Ensenada,0001,Ensenada,012A,025,90,8,7,0,9.75,1.87,38,25,3.91,1.43,6
02,Baja California,001,Ensenada,0001,Ensenada,012A,026,149,13,12,5,9.31,2,56,48,3.39,1.52,12
02,Baja California,001,Ensenada,0001,Ensenada,012A,027,154,9,10,4,9.43,2.10,70,48,3.42,1.50,11
02,Baja California,001,Ensenada,0001,Ensenada,012A,028,52,*,6,*,7.54,2.06,28,18,3.47,1.24,*
02,Baja California,001,Ensenada,0001,Ensenada,012A,029,71,5,*,4,8.27,2.78,47,23,3.09,1.22,6
02,Baja California,001,Ensenada,0001,Ensenada,012A,030,26,4,*,0,10.38,2.67,11,8,4.33,1.53,0
02,Baja California,001,Ensenada,0001,Total AGEB urbana,0134,000,5481,355,405,74,9.30,1.87,2019,2033,3.07,1.26,621
02,Baja California,001,Ensenada,0001,Ensenada,0134,001,150,7,11,*,10.21,2.16,65,61,3.33,1.11,18
02,Baja California,001,Ensenada,0001,Ensenada,0134,002,174,9,14,*,9.39,1.71,66,57,3.11,1.20,22
