@relation ENS_CLEAN_20

@attribute index numeric
@attribute NOM_MUN {Ensenada}
@attribute LOC numeric
@attribute NOM_LOC {Ensenada}
@attribute AGEB numeric
@attribute MZA numeric
@attribute P_TOTAL numeric
@attribute P_0A2 numeric
@attribute P_3A5 numeric
@attribute POB65_MAS numeric
@attribute GRAPROES numeric
@attribute PROM_HNV numeric
@attribute VIVTOT numeric
@attribute PRO_OCUP_C numeric
@attribute PROM_OCUP numeric
@attribute VPH_PC numeric
@attribute OTRAENT numeric

@data
98,Ensenada,1,Ensenada,100,18,79,6,12,3,12.04,1.57,26,0.93,3.16,13,24
99,Ensenada,1,Ensenada,100,19,92,4,10,3,11.37,2.14,28,1.11,3.41,16,25
100,Ensenada,1,Ensenada,100,20,87,4,9,3,11.38,1.63,29,0.98,3.35,14,35
101,Ensenada,1,Ensenada,100,21,94,7,12,4,10.59,2.32,28,1.27,3.62,8,32
102,Ensenada,1,Ensenada,100,22,170,13,15,3,9.42,1.87,59,1.34,3.04,19,67
103,Ensenada,1,Ensenada,100,23,189,11,15,3,9.25,2.12,58,2.03,3.38,14,84
104,Ensenada,1,Ensenada,100,24,106,7,12,3,9.28,2.08,36,1.56,3.03,10,47
105,Ensenada,1,Ensenada,100,25,166,12,11,3,9.44,1.95,54,1.39,3.25,18,65
106,Ensenada,1,Ensenada,100,26,124,10,11,4,9.42,2.21,41,1.53,3.35,11,43
107,Ensenada,1,Ensenada,100,27,98,10,6,4,9.33,1.36,27,1.72,3.92,7,30
108,Ensenada,1,Ensenada,100,28,14,0,0,0,8.82,1.8,7,1.17,2.8,0,8
109,Ensenada,1,Ensenada,100,29,26,0,0,0,9.05,1.64,8,1.3,3.71,0,12
110,Ensenada,1,Ensenada,100,30,36,0,0,5,6.89,2.58,12,1.06,3.6,0,23
111,Ensenada,1,Ensenada,100,31,24,0,0,0,8.41,1.44,8,1.5,4,0,6
112,Ensenada,1,Ensenada,100,32,34,0,3,0,9.64,1.73,11,1.1,3.78,5,13
