index,NOM_LOC,AGEB,MZA,P_TOTAL,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT,P_0A5
1671,Ensenada,1310,1,26.0,0.0,0.8142105263157895,0.05263157894736842,65.0,0.04263157894736842,0.15210526315789474,8.0,8.0,0.0
1691,Ensenada,1397,1,144.0,4.0,2.614,2.91,45.0,1.7920000000000003,3.88,0.0,76.0,29.0
1707,Ensenada,1414,1,98.0,0.0,6.805,2.0616666666666665,29.0,1.455,3.138333333333333,0.0,45.0,34.0
1714,Ensenada,1452,1,865.0,4.0,5.213333333333333,0.9672222222222222,611.0,0.5944444444444444,1.9027777777777777,39.0,339.0,122.0
1769,Ensenada,1467,1,1776.0,17.0,7.2909523809523815,1.1719047619047618,582.0,0.7288095238095238,2.3535714285714286,319.0,645.0,279.0
1812,Ensenada,1471,1,22.0,0.0,13.0,0.8,8.0,0.512,2.4,12.0,20.0,0.0
1818,Ensenada,1486,1,147.0,0.0,7.1433333333333335,2.315,47.0,1.595,3.765,3.0,88.0,33.0
1825,Ensenada,1490,1,32.0,0.0,7.75,2.0,8.0,1.07,3.2,6.0,24.0,0.0
1828,Ensenada,1503,1,78.0,0.0,11.6375,2.4225,55.0,0.855,3.0,11.0,29.0,16.0
1833,Ensenada,1518,1,58.0,0.0,4.835,1.055,17.0,0.615,1.815,9.0,18.0,4.0
1836,Ensenada,1522,1,33.0,0.0,7.985,2.1,13.0,2.35,3.5,0.0,16.0,16.0
1841,Ensenada,1537,1,98.0,0.0,7.772,1.54,86.0,1.2600000000000002,2.684,36.0,82.0,32.0
1847,Ensenada,1541,1,33.0,0.0,4.836,1.666,13.0,0.876,1.8,0.0,24.0,0.0
1853,Ensenada,1556,1,92.0,0.0,6.646666666666666,2.6300000000000003,27.0,1.88,3.5866666666666664,0.0,62.0,32.0
1857,Ensenada,1560,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1862,Ensenada,1575,1,125.0,0.0,6.802,2.226,49.0,1.802,3.682,0.0,69.0,13.0
1891,Ensenada,1594,1,63.0,0.0,6.033333333333334,1.9799999999999998,16.0,1.4133333333333333,4.193333333333333,3.0,33.0,0.0
1895,Ensenada,1607,1,67.0,0.0,5.6325,1.0675,23.0,1.2425,3.01625,0.0,50.0,0.0
1904,Ensenada,1611,1,24.0,0.0,10.13,1.78,7.0,0.75,4.0,3.0,10.0,0.0
1906,Ensenada,1626,1,4.0,0.0,5.065,0.89,40.0,0.375,2.0,3.0,10.0,0.0
1909,Ensenada,1876,1,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1911,Ensenada,1880,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1913,Ensenada,1895,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1915,Ensenada,1908,1,56.0,0.0,7.9,2.23,14.0,0.98,4.0,3.0,15.0,4.0
1917,Ensenada,5968,1,4079.0,254.0,12.8034,1.6018000000000001,1445.0,0.5918,3.2858,992.0,1379.0,301.0
