index,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P_TOTAL,P_0A2,P_3A5,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT
111,Ensenada,1,Ensenada,0100,31,24.0,0.0,0.0,0.0,8.41,1.44,8.0,1.5,4.0,0.0,6.0
112,Ensenada,1,Ensenada,0100,32,34.0,0.0,3.0,0.0,9.64,1.73,11.0,1.1,3.78,5.0,13.0
113,Ensenada,1,Ensenada,0100,33,31.0,0.0,7.0,0.0,8.65,2.0,7.0,1.82,4.43,5.0,12.0
114,Ensenada,1,Ensenada,0100,34,26.0,0.0,0.0,0.0,8.7,2.4,8.0,0.96,3.25,5.0,8.0
115,Ensenada,1,Ensenada,0100,35,29.0,0.0,3.0,0.0,9.39,1.8,8.0,1.21,4.14,5.0,14.0
116,Ensenada,1,Ensenada,0100,36,12.0,0.0,0.0,0.0,6.67,1.75,3.0,2.0,4.0,5.0,11.0
117,Ensenada,1,Ensenada,0100,37,8.0,0.0,0.0,0.0,12.88,1.5,4.0,1.14,2.67,5.0,11.0
118,Ensenada,1,Ensenada,0100,38,7.0,0.0,0.0,0.0,12.88,1.5,4.0,1.14,2.67,5.0,11.0
119,Ensenada,1,Ensenada,0100,39,26.0,0.0,0.0,0.0,6.93,4.2,9.0,1.53,3.71,5.0,12.0
120,Ensenada,1,Ensenada,0100,40,19.0,0.0,0.0,0.0,8.5,2.29,8.0,1.55,2.71,5.0,8.0
121,Ensenada,1,Ensenada,0100,41,25.0,0.0,0.0,0.0,9.37,1.5,6.0,1.0,4.17,5.0,8.0
122,Ensenada,1,Ensenada,0100,42,16.0,0.0,0.0,0.0,9.56,2.6,5.0,1.33,4.0,5.0,6.0
123,Ensenada,1,Ensenada,0100,43,4.0,0.0,0.0,0.0,9.56,2.6,1.0,1.33,4.0,5.0,6.0
124,Ensenada,1,Ensenada,0100,44,5.0,0.0,0.0,0.0,9.56,2.6,1.0,1.33,4.0,5.0,6.0
125,Ensenada,1,Ensenada,0100,45,18.0,0.0,3.0,0.0,7.36,4.0,5.0,1.2,4.5,5.0,9.0
126,Ensenada,1,Ensenada,0100,46,10.0,0.0,3.0,0.0,11.57,4.25,3.0,1.11,3.33,5.0,4.0
127,Ensenada,1,Ensenada,0100,47,12.0,0.0,3.0,0.0,6.13,1.75,7.0,1.2,3.0,0.0,4.0
128,Ensenada,1,Ensenada,0100,48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
131,Ensenada,1,Ensenada,0115,1,73.0,4.0,5.0,0.0,10.48,1.63,23.0,1.49,3.48,8.0,28.0
132,Ensenada,1,Ensenada,0115,2,72.0,3.0,7.0,0.0,9.44,2.14,23.0,1.44,3.79,11.0,29.0
133,Ensenada,1,Ensenada,0115,3,73.0,8.0,6.0,0.0,8.78,2.54,23.0,1.28,3.65,8.0,19.0
134,Ensenada,1,Ensenada,0115,4,61.0,8.0,3.0,9.0,7.93,2.17,21.0,1.2,3.39,4.0,25.0
135,Ensenada,1,Ensenada,0115,5,69.0,4.0,7.0,9.0,9.86,2.74,22.0,1.17,3.83,5.0,29.0
136,Ensenada,1,Ensenada,0115,6,72.0,6.0,6.0,0.0,10.18,1.63,21.0,1.5,4.0,5.0,33.0
137,Ensenada,1,Ensenada,0115,7,60.0,3.0,6.0,0.0,9.28,1.81,20.0,1.02,3.33,3.0,29.0
138,Ensenada,1,Ensenada,0115,8,79.0,0.0,5.0,0.0,10.0,1.67,28.0,1.16,3.43,14.0,37.0
139,Ensenada,1,Ensenada,0115,9,50.0,0.0,5.0,0.0,10.0,2.0,23.0,1.04,2.94,8.0,18.0
140,Ensenada,1,Ensenada,0115,10,64.0,4.0,5.0,0.0,9.2,2.04,23.0,1.52,3.56,5.0,23.0
141,Ensenada,1,Ensenada,0115,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Ensenada,1,Ensenada,0115,12,84.0,5.0,3.0,0.0,9.71,1.67,27.0,1.27,3.65,11.0,33.0
143,Ensenada,1,Ensenada,0115,13,93.0,3.0,3.0,3.0,8.81,1.95,24.0,1.27,3.88,8.0,36.0
144,Ensenada,1,Ensenada,0115,14,73.0,4.0,3.0,3.0,9.49,1.61,23.0,1.4,3.84,5.0,31.0
145,Ensenada,1,Ensenada,0115,15,69.0,3.0,4.0,3.0,9.38,2.03,21.0,1.23,3.83,8.0,29.0
146,Ensenada,1,Ensenada,0115,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
147,Ensenada,1,Ensenada,0115,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Ensenada,1,Ensenada,0115,18,63.0,3.0,0.0,0.0,8.52,2.13,25.0,1.24,3.15,4.0,28.0
149,Ensenada,1,Ensenada,0115,19,61.0,6.0,0.0,0.0,9.65,2.58,24.0,1.36,3.59,9.0,31.0
